DateTimeStamp        , Code                                                       , Nr., Start    , End      , Done , Produ, Azure, BinCh,  Duration, Total, Log , Error , Tolerance , link
2021.01.04 19:30:21  , PublishDotNetCoreWebAppToAzurePublishToFile                , 70 , 19:30:21 , 19:31:30 , True , True , False, False,        68,      ,   36,      0,          0, C:\Windows\System32\notepad.exe@'C:\SQL2XProjects\SolutionNorSolutionPort\ASP\Operational\dotNetpublish.bat', C:\SQL2XProjects\SolutionNorSolutionPort\ASP\Operational
2021.01.04 19:31:31  , PublishDotNetCoreWebAppToAzurePublishToAzure               , 71 , 19:31:31 , 19:32:18 , True , True , False, False,        46,      ,  251,      0,          0, C:\Windows\System32\notepad.exe@'C:\SQL2XProjects\SolutionNorSolutionPort\ASP\Operational\Publish To Azure.bat', C:\SQL2XProjects\SolutionNorSolutionPort\ASP\Operational
2021.01.04 19:32:19  , PublishDotNetCoreWebAppToAzurePublishToAzureResult         , 72 , 19:32:19 , 19:32:20 , True , False, False, False,         1,      ,    1,      0,          0, https://NorSolutionPortCore.AzureWebSites.net/, 
2021.01.04 19:32:22  , PublishDotNetCoreThreeWebAppLayerToAzureByCLI              , 73 , 19:32:21 , 19:32:23 , False, False, False, False,         1,      ,    1,      0,          0, , 
2021.01.04 19:32:24  , DotNetFrameworkWebAppMakePackage                           , 74 , 19:32:24 , 19:32:34 , True , True , False, False,        11,      , 3399,      1,          1, C:\Windows\System32\notepad.exe@'C:\SQL2XProjects\SolutionNorSolutionPort\Web\Operational\Build package to disk.bat', C:\SQL2XProjects\SolutionNorSolutionPort\Web\Operational
2021.01.04 19:32:37  , PublishDotNetFrameworkWebAppToAzure                        , 75 , 19:32:36 , 19:34:59 , True , True , False, False,       143,      , 1221,      0,          0, https://NorSolutionPort.AzureWebSites.net/, 
2021.01.04 19:35:01  , StartupProjectsSet                                         , 76 , 19:35:01 , 19:35:02 , True , False, False, False,         1,      ,    3,      0,         -1, , 
2021.01.04 19:35:04  , ReloadSolutionForth                                        , 77 , 19:35:04 , 19:35:19 , True , False, False, False,        15,      ,    2,      0,          0, , 
2021.01.04 19:35:20  , SaveSolution                                               , 78 , 19:35:20 , 19:35:21 , True , False, False, False,         1,      ,    1,      0,          0, , 
2021.01.04 19:35:23  , DotNetFrameworkWebAppMakePackageAgain                      , 79 , 19:35:23 , 19:35:28 , True , True , False, False,         6,      , 1585,      1,          1, C:\Windows\System32\notepad.exe@'C:\SQL2XProjects\SolutionNorSolutionPort\Web\Operational\Build package to disk.bat', C:\SQL2XProjects\SolutionNorSolutionPort\Web\Operational
2021.01.04 19:35:30  , PublishDotNetFrameworkWebAppToAzureAgain                   , 80 , 19:35:30 , 19:35:52 , True , True , False, False,        22,      ,   35,      0,          0, https://NorSolutionPort.AzureWebSites.net/, 
2021.01.04 19:35:54  , BaselineSetForWork                                         , 81 , 19:35:54 , 19:36:05 , True , False, False, False,        12,      ,    3,      0,          0, , 
2021.01.04 19:36:07  , BaselineSetForKeep                                         , 82 , 19:36:07 , 19:36:09 , True , False, False, False,         2,      ,    3,      0,          0, , 
2021.01.04 19:36:10  , SaveStatistics                                             , 83 , 19:36:10 , 19:36:16 , True , False, False, False,         6,      ,    1,      0,          0, , 
2021.01.04 19:36:18  , OpenMajorWebSites                                          , 84 , 19:36:17 , 19:36:19 , True , False, False, False,         1,      ,    1,      0,          0, , 
2021.01.04 19:36:20  , TestsAddToTableStorage                                     , 85 , 19:36:20 , 19:39:23 , True , False, False, False,       183,      , 1933,      1,         -1, , 
2021.01.04 19:39:25  , CreateSolutionGroupProjects                                , 86 , 19:39:25 , 19:39:34 , True , False, False, False,         9,      ,    9,      0,          0, , 
2021.01.04 19:39:35  , CleanupUnusedFiles                                         , 87 , 19:39:35 , 19:39:36 , True , False, False, False,         1,      ,    1,      0,          0, , 
2021.01.04 19:39:38  , CodeStyleAllFiles                                          , 88 , 19:39:38 , 19:39:39 , True , False, False, False,         1,      ,    1,      0,         -1, , 
2021.01.04 19:39:40  , DistributeCreation                                         , 89 , 19:39:40 
